"p","U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
3.393760183826e-03,2.381020691246e-03,-8.260313734354e-06,0.000000000000e+00,-1.557618193328e-02,6.174792069942e-04,0.000000000000e+00,-1.749803781509e+00,2.757671475410e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.256888107397e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.776914199269e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,3.000000026077e-03,0.000000000000e+00
3.393693361431e-03,2.380857244134e-03,-8.231875654019e-06,0.000000000000e+00,-1.782873459160e-02,8.081527776085e-04,0.000000000000e+00,-1.749368190765e+00,2.744141966105e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.231097384240e-05,2.287479469661e-02,0.000000000000e+00,0.000000000000e+00,1.776741565047e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.446535942610e-05,2.999811433256e-03,0.000000000000e+00
3.393582068384e-03,2.380093093961e-03,-8.186455488612e-06,0.000000000000e+00,-2.246132120490e-02,6.494576227851e-04,0.000000000000e+00,-1.748191118240e+00,2.712006308138e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.169837822905e-05,4.574854984728e-02,0.000000000000e+00,0.000000000000e+00,1.775244206958e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.089245051844e-04,2.999623538926e-03,0.000000000000e+00
3.393484512344e-03,2.379083540291e-03,-8.172852176358e-06,0.000000000000e+00,-2.435324899852e-02,5.109742778586e-05,0.000000000000e+00,-1.747019767761e+00,2.673499286175e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.096432869323e-05,6.862705593771e-02,0.000000000000e+00,0.000000000000e+00,1.773703487039e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.633774809306e-04,2.999436575919e-03,0.000000000000e+00
3.393388120458e-03,2.378107514232e-03,-8.191683264158e-06,0.000000000000e+00,-2.369942702353e-02,-5.012705805711e-04,0.000000000000e+00,-1.745863080025e+00,2.630659937859e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.014768976253e-05,9.151269259374e-02,0.000000000000e+00,0.000000000000e+00,1.772266319188e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.178243157687e-04,2.999249380082e-03,0.000000000000e+00
3.393291495740e-03,2.377168973908e-03,-8.237507245212e-06,0.000000000000e+00,-2.313454262912e-02,-9.525545756333e-04,0.000000000000e+00,-1.744683146477e+00,2.584575861692e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.926919791615e-05,1.144051575433e-01,0.000000000000e+00,0.000000000000e+00,1.770891030175e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.722650533542e-04,2.999061252922e-03,0.000000000000e+00
3.393195103854e-03,2.376258373260e-03,-8.304914445034e-06,0.000000000000e+00,-2.264182828367e-02,-1.306614489295e-03,0.000000000000e+00,-1.743487119675e+00,2.536458708346e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.835195068154e-05,1.373041124385e-01,0.000000000000e+00,0.000000000000e+00,1.769580342586e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,3.266997518949e-04,2.998871961609e-03,0.000000000000e+00
3.393098711967e-03,2.375378506258e-03,-8.388839887630e-06,0.000000000000e+00,-2.212304994464e-02,-1.566973514855e-03,0.000000000000e+00,-1.742281317711e+00,2.487350814044e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.741581869894e-05,1.602093089270e-01,0.000000000000e+00,0.000000000000e+00,1.768341619594e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,3.811283968389e-04,2.998680574819e-03,0.000000000000e+00
3.393002552912e-03,2.374530537054e-03,-8.484297723044e-06,0.000000000000e+00,-2.159628272057e-02,-1.736505189911e-03,0.000000000000e+00,-1.741070508957e+00,2.438082173467e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.647661990020e-05,1.831204722252e-01,0.000000000000e+00,0.000000000000e+00,1.767175708050e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.355511046015e-04,2.998487325385e-03,0.000000000000e+00
3.392906626686e-03,2.373715164140e-03,-8.586550393375e-06,0.000000000000e+00,-2.107273042202e-02,-1.820961944759e-03,0.000000000000e+00,-1.739860653877e+00,2.389284968376e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.554641418508e-05,2.060373142020e-01,0.000000000000e+00,0.000000000000e+00,1.766094368439e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.899678169750e-04,2.998291747645e-03,0.000000000000e+00
3.392810700461e-03,2.372932387516e-03,-8.691225048096e-06,0.000000000000e+00,-2.055774070323e-02,-1.827290863730e-03,0.000000000000e+00,-1.738658070564e+00,2.341414429247e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.463386721909e-05,2.289595400234e-01,0.000000000000e+00,0.000000000000e+00,1.765112735370e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.443786503747e-04,2.998093608767e-03,0.000000000000e+00
3.392714774236e-03,2.372178016230e-03,-8.794010682323e-06,0.000000000000e+00,-2.005643770099e-02,-1.759374164976e-03,0.000000000000e+00,-1.737469315529e+00,2.294846810400e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.374615673441e-05,2.518844052936e-01,0.000000000000e+00,0.000000000000e+00,1.711087215842e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.987777840346e-04,2.997893141583e-03,0.000000000000e+00
3.392620012164e-03,2.371457405388e-03,-8.890317985788e-06,0.000000000000e+00,-1.957580074668e-02,-1.634710817598e-03,0.000000000000e+00,-1.736312270164e+00,2.250122092664e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.289358184906e-05,2.745411327399e-01,0.000000000000e+00,0.000000000000e+00,1.710396852099e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,6.525235949084e-04,2.997692907229e-03,0.000000000000e+00
3.392525250092e-03,2.370765665546e-03,-8.978488949651e-06,0.000000000000e+00,-1.911096274853e-02,-1.461073639803e-03,0.000000000000e+00,-1.735179543495e+00,2.206696569920e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.206576704746e-05,2.972022906326e-01,0.000000000000e+00,0.000000000000e+00,1.709764079128e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,7.062635850161e-04,2.997490344569e-03,0.000000000000e+00
3.392430720851e-03,2.370101399720e-03,-9.056172530109e-06,0.000000000000e+00,-1.866186223924e-02,-1.246460247785e-03,0.000000000000e+00,-1.734074950218e+00,2.164483815432e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.126107887714e-05,3.198676235691e-01,0.000000000000e+00,0.000000000000e+00,1.709193281888e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,7.599977543578e-04,2.997285919264e-03,0.000000000000e+00
3.392336191610e-03,2.369463210925e-03,-9.121426046477e-06,0.000000000000e+00,-1.822768896818e-02,-9.982222691178e-04,0.000000000000e+00,-1.733001708984e+00,2.123338915408e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.047673792229e-05,3.425368867877e-01,0.000000000000e+00,0.000000000000e+00,1.708677349303e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,8.137262193486e-04,2.997079864144e-03,0.000000000000e+00
3.392241662368e-03,2.368849935010e-03,-9.172675163427e-06,0.000000000000e+00,-1.780709438026e-02,-7.229789625853e-04,0.000000000000e+00,-1.731962084770e+00,2.083076164126e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.970921898144e-05,3.652098475315e-01,0.000000000000e+00,0.000000000000e+00,1.708214909158e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,8.674489217810e-04,2.996872412041e-03,0.000000000000e+00
3.392147133127e-03,2.368260407820e-03,-9.208672963723e-06,0.000000000000e+00,-1.739836670458e-02,-4.265926254448e-04,0.000000000000e+00,-1.730958104134e+00,2.043485268950e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.895450572600e-05,3.878862866938e-01,0.000000000000e+00,0.000000000000e+00,1.707804139094e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,9.211660362780e-04,2.996663795784e-03,0.000000000000e+00
3.392052603886e-03,2.367693465203e-03,-9.228236194758e-06,0.000000000000e+00,-1.699967868626e-02,-1.140320964623e-04,0.000000000000e+00,-1.729991436005e+00,2.004347182810e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.820842903224e-05,4.105659964817e-01,0.000000000000e+00,0.000000000000e+00,1.707716866914e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,9.748775046319e-04,2.996454713866e-03,0.000000000000e+00
3.391958307475e-03,2.367150038481e-03,-9.229195711669e-06,0.000000000000e+00,-1.660946756601e-02,2.107599138981e-04,0.000000000000e+00,-1.729065775871e+00,1.965436525643e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.746668153326e-05,4.332464326683e-01,0.000000000000e+00,0.000000000000e+00,1.707408792239e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.028577797115e-03,2.996245399117e-03,0.000000000000e+00
3.391864011064e-03,2.366626635194e-03,-9.212657460012e-06,0.000000000000e+00,-1.622471213341e-02,5.427101277746e-04,0.000000000000e+00,-1.728177905083e+00,1.926489733160e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.672425009427e-05,4.559297484661e-01,0.000000000000e+00,0.000000000000e+00,1.707145760397e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.082272618078e-03,2.996036084369e-03,0.000000000000e+00
3.391769947484e-03,2.366122556850e-03,-9.178351319861e-06,0.000000000000e+00,-1.584343984723e-02,8.787017432041e-04,0.000000000000e+00,-1.727327704430e+00,1.887301355600e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.597720933612e-05,4.786157679473e-01,0.000000000000e+00,0.000000000000e+00,1.706910116578e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.135961967520e-03,2.995827468112e-03,0.000000000000e+00
3.391675651073e-03,2.365636872128e-03,-9.126159966399e-06,0.000000000000e+00,-1.546379923820e-02,1.216091914102e-03,0.000000000000e+00,-1.726514697075e+00,1.847681775689e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.522195038386e-05,5.013043233015e-01,0.000000000000e+00,0.000000000000e+00,1.706709626154e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.189645845443e-03,2.995619783178e-03,0.000000000000e+00
3.391581587493e-03,2.365168649703e-03,-9.056087037607e-06,0.000000000000e+00,-1.508408505470e-02,1.552645349875e-03,0.000000000000e+00,-1.725738286972e+00,1.807459071279e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.445519541856e-05,5.239952526179e-01,0.000000000000e+00,0.000000000000e+00,1.706542592905e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.243324368261e-03,2.995413495228e-03,0.000000000000e+00
3.391487523913e-03,2.364717656747e-03,-8.968244401331e-06,0.000000000000e+00,-1.470274664462e-02,1.886476995423e-03,0.000000000000e+00,-1.724997878075e+00,1.766480877995e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.367403405719e-05,5.466884082742e-01,0.000000000000e+00,0.000000000000e+00,1.706404675286e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.296997535974e-03,2.995208837092e-03,0.000000000000e+00
3.391393460333e-03,2.364284358919e-03,-8.861458809406e-06,0.000000000000e+00,-1.431807596236e-02,2.215535147116e-03,0.000000000000e+00,-1.724295139313e+00,1.724535599351e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.287444269517e-05,5.693836399200e-01,0.000000000000e+00,0.000000000000e+00,1.706568588611e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.350665348582e-03,2.995006507263e-03,0.000000000000e+00
3.391299629584e-03,2.363868057728e-03,-8.736640666029e-06,0.000000000000e+00,-1.392882969230e-02,2.538426313549e-03,0.000000000000e+00,-1.723628044128e+00,1.681529544294e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.205462780898e-05,5.920785670105e-01,0.000000000000e+00,0.000000000000e+00,1.706477990681e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.404322567396e-03,2.994806738570e-03,0.000000000000e+00
3.391205798835e-03,2.363467356190e-03,-8.594931387051e-06,0.000000000000e+00,-1.353409886360e-02,2.854306949303e-03,0.000000000000e+00,-1.722994208336e+00,1.637410186231e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.121358895442e-05,6.147752849771e-01,0.000000000000e+00,0.000000000000e+00,1.706411278948e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.457974663936e-03,2.994609996676e-03,0.000000000000e+00
3.391111968085e-03,2.363081555814e-03,-8.436733878625e-06,0.000000000000e+00,-1.313303038478e-02,3.162253415212e-03,0.000000000000e+00,-1.722392559052e+00,1.592107303441e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.034998917428e-05,6.374736605368e-01,0.000000000000e+00,0.000000000000e+00,1.706366522915e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.511621521786e-03,2.994416747242e-03,0.000000000000e+00
3.391018137336e-03,2.362710423768e-03,-8.262498340628e-06,0.000000000000e+00,-1.272492669523e-02,3.461476182565e-03,0.000000000000e+00,-1.721822500229e+00,1.545567810535e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.946281711047e-05,6.601735638163e-01,0.000000000000e+00,0.000000000000e+00,1.706332472474e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.565263257362e-03,2.994226990268e-03,0.000000000000e+00
3.390924306586e-03,2.362354192883e-03,-8.072493983491e-06,0.000000000000e+00,-1.230912562460e-02,3.751143580303e-03,0.000000000000e+00,-1.721283316612e+00,1.497735735029e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.855100501620e-05,6.828748668730e-01,0.000000000000e+00,0.000000000000e+00,1.706561176047e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.618899870664e-03,2.994041657075e-03,0.000000000000e+00
3.390830941498e-03,2.362015191466e-03,-7.865688530728e-06,0.000000000000e+00,-1.188434474170e-02,4.029446747154e-03,0.000000000000e+00,-1.720776557922e+00,1.448450423777e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.761149153230e-05,7.055753073671e-01,0.000000000000e+00,0.000000000000e+00,1.706553041816e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.672526355833e-03,2.993860747665e-03,0.000000000000e+00
3.390737343580e-03,2.361690159887e-03,-7.644506695215e-06,0.000000000000e+00,-1.145125553012e-02,4.297103732824e-03,0.000000000000e+00,-1.720298528671e+00,1.397859025747e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.664707790245e-05,7.282768844022e-01,0.000000000000e+00,0.000000000000e+00,1.706559543892e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.726147835143e-03,2.993684727699e-03,0.000000000000e+00
3.390643978491e-03,2.361379098147e-03,-7.409526006086e-06,0.000000000000e+00,-1.100975275040e-02,4.553673788905e-03,0.000000000000e+00,-1.719848394394e+00,1.345969364047e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.565791874076e-05,7.509794782660e-01,0.000000000000e+00,0.000000000000e+00,1.706578440263e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.779764308594e-03,2.993513597175e-03,0.000000000000e+00
