"alpha.water","p_rgh","p","U:0","U:1","U:2","gradU:0","gradU:1","gradU:2","gradU:3","gradU:4","gradU:5","gradU:6","gradU:7","gradU:8","ParticleId","ParticleSourceId","InjectedPointId","InjectionStepId","ErrorCode","ParticleAge","Vorticity","Rotation","AngularVelocity","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
1.00005e+00,6.59976e+04,6.59979e+04,3.47692e+00,-1.07359e+00,1.73472e-18,7.50852e+04,-3.66186e+04,0.00000e+00,-5.11312e+04,-3.03156e+04,5.68434e-14,0.00000e+00,5.68434e-14,-5.77899e+01,6,0,6,0,0,0.00000e+00,1.22341e-12,-9.77904e-19,-3.91162e-11,1,-2.00000e-05,2.40000e-05,0.00000e+00,5.00000e-08
1.00005e+00,4.77300e+04,4.77302e+04,3.51843e+00,-1.09039e+00,0.00000e+00,6.48479e+04,-3.36957e+04,-2.84217e-14,-8.74749e+04,-1.93254e+04,-2.84217e-14,0.00000e+00,-2.84217e-14,-3.68396e+01,6,0,6,0,0,5.00000e-08,-1.62828e-11,-2.20160e-18,-9.83164e-12,1,-1.98251e-05,2.39459e-05,1.80700e-26,1.00000e-07
1.00005e+00,4.19411e+04,4.19414e+04,3.54071e+00,-1.09985e+00,1.30104e-18,4.18364e+04,-2.64942e+04,-2.84217e-14,-1.61295e+05,4.15909e+03,0.00000e+00,2.27374e-13,0.00000e+00,7.92839e+00,6,0,6,0,0,1.00000e-07,-8.77572e-12,-3.29962e-18,-3.40892e-11,1,-1.96486e-05,2.38911e-05,9.03502e-27,1.50000e-07
1.00005e+00,3.91721e+04,3.91723e+04,3.54593e+00,-1.10339e+00,0.00000e+00,1.08286e+04,-1.65714e+04,0.00000e+00,-2.57968e+05,3.53877e+04,-4.39093e-14,-7.10543e-15,-4.39371e-14,6.74588e+01,6,0,6,0,0,1.50000e-07,8.64198e-13,-4.10327e-18,1.94331e-12,1,-1.94715e-05,2.38361e-05,2.71051e-27,2.00000e-07
1.00005e+00,3.75296e+04,3.75298e+04,3.53756e+00,-1.10217e+00,8.67362e-19,-2.30863e+04,-5.61545e+03,0.00000e+00,-3.62290e+05,6.93108e+04,0.00000e+00,-2.27374e-13,0.00000e+00,1.32126e+02,6,0,6,0,0,2.00000e-07,-3.71276e-11,-3.79259e-18,1.04838e-11,1,-1.92944e-05,2.37809e-05,2.43945e-26,2.50000e-07
1.00005e+00,3.64148e+04,3.64151e+04,3.51887e+00,-1.09731e+00,0.00000e+00,-5.64694e+04,5.23005e+03,0.00000e+00,-4.64059e+05,1.02539e+05,-1.13687e-13,0.00000e+00,-1.13687e-13,1.95469e+02,6,0,6,0,0,2.50000e-07,7.87723e-12,-4.50796e-18,-3.90988e-11,1,-1.91180e-05,2.37259e-05,3.34296e-26,3.00000e-07
1.00005e+00,3.55568e+04,3.55570e+04,3.49312e+00,-1.08993e+00,-1.73472e-18,-8.74887e+04,1.53423e+04,1.42109e-14,-5.58029e+05,1.33296e+05,-1.20792e-13,8.52651e-13,-1.20792e-13,2.54100e+02,6,0,6,0,0,3.00000e-07,-6.30280e-11,-6.83478e-18,-5.39741e-11,1,-1.89427e-05,2.36713e-05,3.65918e-26,3.50000e-07
1.00005e+00,3.48231e+04,3.48233e+04,3.46320e+00,-1.08097e+00,1.73472e-18,-1.15422e+05,2.44590e+04,0.00000e+00,-6.42332e+05,1.60906e+05,-1.13687e-13,-9.09495e-13,-1.13687e-13,3.06732e+02,6,0,6,0,0,3.50000e-07,0.00000e+00,-8.23298e-18,-1.95378e-12,1,-1.87688e-05,2.36170e-05,2.57498e-26,4.00000e-07
1.00005e+00,3.42169e+04,3.42172e+04,3.43083e+00,-1.07104e+00,-8.67362e-19,-1.40098e+05,3.25207e+04,-1.42109e-14,-7.16568e+05,1.85221e+05,2.27374e-13,-4.54747e-13,2.27374e-13,3.53082e+02,6,0,6,0,0,4.00000e-07,-1.97802e-12,-8.74520e-18,-1.85351e-11,1,-1.85964e-05,2.35632e-05,7.67977e-27,4.50000e-07
1.00005e+00,3.37358e+04,3.37360e+04,3.39735e+00,-1.06062e+00,1.73472e-18,-1.61665e+05,3.95703e+04,2.84217e-14,-7.81281e+05,2.06407e+05,-2.27374e-13,-1.13687e-13,-2.27374e-13,3.93469e+02,6,0,6,0,0,4.50000e-07,-2.70400e-11,-9.76706e-18,-2.23394e-11,1,-1.84257e-05,2.35099e-05,3.16226e-27,5.00000e-07
